"trial","ref_position","var_area","response","correct","rt"
1,"L",11.5703898663633,"R",TRUE,4
2,"R",9.49312489829026,"L",TRUE,3.49399995803833
3,"L",11.848123047268,"R",TRUE,2.89399981498718
4,"R",9.17029235581867,"R",FALSE,4.79099988937378
5,"L",8.73153041815385,"L",TRUE,3.69099998474121
6,"R",8.96275748754852,"L",FALSE,2.18899989128113
7,"L",9.00495400931686,"R",TRUE,2.30100011825562
8,"L",13.0871434290893,"R",TRUE,2.4909999370575
9,"L",13.4416895247996,"R",TRUE,1.79299998283386
10,"L",12.1397813225631,"R",TRUE,1.99699997901917
11,"R",12.7188774521928,"L",TRUE,2.48900008201599
12,"R",12.7188774521928,"L",TRUE,2.48900008201599
